Judul,Link,judul_lower_case,remove_html,remove_special_characters,remove_escape_characters,cleaned_space,tokenisasi,remove_stopword_english,remove_stopword_indonesia,data_post_cleaned
Survei Ungkap 70% Gen Z Minta Bantuan Orang Tua untuk Melamar Pekerjaan,https://wolipop.detik.com/worklife/d-7633465/survei-ungkap-70-gen-z-minta-bantuan-orang-tua-untuk-melamar-pekerjaan,survei ungkap 70% gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap 70% gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,"['survei', 'ungkap', 'gen', 'z', 'minta', 'bantuan', 'orang', 'tua', 'untuk', 'melamar', 'pekerjaan']","['survei', 'ungkap', 'gen', 'z', 'minta', 'bantuan', 'orang', 'tua', 'untuk', 'melamar', 'pekerjaan']","['survei', 'gen', 'z', 'bantuan', 'orang', 'tua', 'melamar', 'pekerjaan']","['survei', 'gen', 'z', 'bantuan', 'orang', 'tua', 'lamar', 'pekerjaan']"
'Garut di Eropa' dan Problem Pengetahuan Umum Gen Z/Alpha,https://news.detik.com/kolom/d-7632852/garut-di-eropa-dan-problem-pengetahuan-umum-gen-z-alpha,'garut di eropa' dan problem pengetahuan umum gen z/alpha,'garut di eropa' dan problem pengetahuan umum gen z/alpha,garut di eropa dan problem pengetahuan umum gen zalpha,garut di eropa dan problem pengetahuan umum gen zalpha,garut di eropa dan problem pengetahuan umum gen zalpha,"['garut', 'di', 'eropa', 'dan', 'problem', 'pengetahuan', 'umum', 'gen', 'zalpha']","['garut', 'di', 'eropa', 'dan', 'problem', 'pengetahuan', 'umum', 'gen', 'zalpha']","['garut', 'eropa', 'problem', 'pengetahuan', 'gen', 'zalpha']","['garut', 'eropa', 'problem', 'pengetahuan', 'gen', 'zalpha']"
"Vokalis Close to Breathe Punya Project Solo, Siapkan EP untuk Milenial dan Gen Z",https://www.detik.com/pop/music/d-7633322/vokalis-close-to-breathe-punya-project-solo-siapkan-ep-untuk-milenial-dan-gen-z,"vokalis close to breathe punya project solo, siapkan ep untuk milenial dan gen z","vokalis close to breathe punya project solo, siapkan ep untuk milenial dan gen z",vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,"['vokalis', 'close', 'to', 'breathe', 'punya', 'project', 'solo', 'siapkan', 'ep', 'untuk', 'milenial', 'dan', 'gen', 'z']","['vokalis', 'close', 'breathe', 'punya', 'project', 'solo', 'siapkan', 'ep', 'untuk', 'milenial', 'dan', 'gen', 'z']","['vokalis', 'close', 'breathe', 'project', 'solo', 'siapkan', 'ep', 'milenial', 'gen', 'z']","['vokalis', 'close', 'breathe', 'project', 'solo', 'siap', 'ep', 'milenial', 'gen', 'z']"
Video: Gita Mau Bangun 5.000 Lapangan Olahraga Atasi Masalah Mental Gen Z,https://20.detik.com/detikupdate/20241111-241111154/video-gita-mau-bangun-5-000-lapangan-olahraga-atasi-masalah-mental-gen-z,video: gita mau bangun 5.000 lapangan olahraga atasi masalah mental gen z,video: gita mau bangun 5.000 lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,"['video', 'gita', 'mau', 'bangun', 'lapangan', 'olahraga', 'atasi', 'masalah', 'mental', 'gen', 'z']","['video', 'gita', 'mau', 'bangun', 'lapangan', 'olahraga', 'atasi', 'masalah', 'mental', 'gen', 'z']","['video', 'gita', 'bangun', 'lapangan', 'olahraga', 'atasi', 'mental', 'gen', 'z']","['video', 'gita', 'bangun', 'lapangan', 'olahraga', 'atasi', 'ntal', 'gen', 'z']"
Video: Program 4 Cawagub Jabar Biar Gen Z Bermental Sehat,https://news.detik.com/detiktv/d-7633764/video-program-4-cawagub-jabar-biar-gen-z-bermental-sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,"['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']"
[Verifikata] Ilham Habibie: Hanya 25% Gen Z yang Bisa Dapat Kerja,https://www.detik.com/jabar/pilkada/d-7633808/verifikata-ilham-habibie-hanya-25-gen-z-yang-bisa-dapat-kerja,[verifikata] ilham habibie: hanya 25% gen z yang bisa dapat kerja,[verifikata] ilham habibie: hanya 25% gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,"['verifikata', 'ilham', 'habibie', 'hanya', 'gen', 'z', 'yang', 'bisa', 'dapat', 'kerja']","['verifikata', 'ilham', 'habibie', 'hanya', 'gen', 'z', 'yang', 'bisa', 'dapat', 'kerja']","['verifikata', 'ilham', 'habibie', 'gen', 'z', 'kerja']","['verifikata', 'ilham', 'habibie', 'gen', 'z', 'kerja']"
"Gen Z Milenial Dukung Sherly-Sarbin, Percaya Perempuan Bisa Pimpin Malut",https://www.detik.com/sulsel/pilkada/d-7631059/gen-z-milenial-dukung-sherly-sarbin-percaya-perempuan-bisa-pimpin-malut,"gen z milenial dukung sherly-sarbin, percaya perempuan bisa pimpin malut","gen z milenial dukung sherly-sarbin, percaya perempuan bisa pimpin malut",gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,"['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'bisa', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'bisa', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'pimpin', 'malut']"
Menangkal 'Jam Koma' dengan Yoga,https://health.detik.com/fotohealth/d-7606988/menangkal-jam-koma-dengan-yoga,menangkal 'jam koma' dengan yoga,menangkal 'jam koma' dengan yoga,menangkal jam koma dengan yoga,menangkal jam koma dengan yoga,menangkal jam koma dengan yoga,"['menangkal', 'jam', 'koma', 'dengan', 'yoga']","['menangkal', 'jam', 'koma', 'dengan', 'yoga']","['menangkal', 'jam', 'koma', 'yoga']","['nangkal', 'jam', 'koma', 'yoga']"
Gen Z dan Perubahan Paradigma Pariwisata,https://news.detik.com/kolom/d-7627214/gen-z-dan-perubahan-paradigma-pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,"['gen', 'z', 'dan', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'dan', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'perubahan', 'paradigma', 'pariwisata']"
"Jadi Pembicara Talkshow, Risma Beri Pesan ke Gen-Z: Jangan Takut Perubahan",https://news.detik.com/berita/d-7629740/jadi-pembicara-talkshow-risma-beri-pesan-ke-gen-z-jangan-takut-perubahan,"jadi pembicara talkshow, risma beri pesan ke gen-z: jangan takut perubahan","jadi pembicara talkshow, risma beri pesan ke gen-z: jangan takut perubahan",jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,"['jadi', 'pembicara', 'talkshow', 'risma', 'beri', 'pesan', 'ke', 'genz', 'jangan', 'takut', 'perubahan']","['jadi', 'pembicara', 'talkshow', 'risma', 'beri', 'pesan', 'ke', 'genz', 'jangan', 'takut', 'perubahan']","['pembicara', 'talkshow', 'risma', 'pesan', 'genz', 'takut', 'perubahan']","['pembicara', 'talkshow', 'risma', 'pesan', 'genz', 'takut', 'perubahan']"
Jurus Ratu Zakiyah dan Andika Hadapi Dampak Internet ke Gen-Z Serang,https://news.detik.com/pilkada/d-7629164/jurus-ratu-zakiyah-dan-andika-hadapi-dampak-internet-ke-gen-z-serang,jurus ratu zakiyah dan andika hadapi dampak internet ke gen-z serang,jurus ratu zakiyah dan andika hadapi dampak internet ke gen-z serang,jurus ratu zakiyah dan andika hadapi dampak internet ke genz serang,jurus ratu zakiyah dan andika hadapi dampak internet ke genz serang,jurus ratu zakiyah dan andika hadapi dampak internet ke genz serang,"['jurus', 'ratu', 'zakiyah', 'dan', 'andika', 'hadapi', 'dampak', 'internet', 'ke', 'genz', 'serang']","['jurus', 'ratu', 'zakiyah', 'dan', 'andika', 'hadapi', 'dampak', 'internet', 'ke', 'genz', 'serang']","['jurus', 'ratu', 'zakiyah', 'andika', 'hadapi', 'dampak', 'internet', 'genz', 'serang']","['jurus', 'ratu', 'zakiyah', 'andika', 'hadapi', 'dampak', 'internet', 'genz', 'serang']"
Video: Janji Pramono Permudah KPR untuk Gen Z-Milenial,https://news.detik.com/detiktv/d-7627939/video-janji-pramono-permudah-kpr-untuk-gen-z-milenial,video: janji pramono permudah kpr untuk gen z-milenial,video: janji pramono permudah kpr untuk gen z-milenial,video janji pramono permudah kpr untuk gen zmilenial,video janji pramono permudah kpr untuk gen zmilenial,video janji pramono permudah kpr untuk gen zmilenial,"['video', 'janji', 'pramono', 'permudah', 'kpr', 'untuk', 'gen', 'zmilenial']","['video', 'janji', 'pramono', 'permudah', 'kpr', 'untuk', 'gen', 'zmilenial']","['video', 'janji', 'pramono', 'permudah', 'kpr', 'gen', 'zmilenial']","['video', 'janji', 'pramono', 'permudah', 'kpr', 'gen', 'zmilenial']"
Gen Z Dianggap 'Bunuh' TV,https://www.detik.com/pop/movie/d-7528094/gen-z-dianggap-bunuh-tv,gen z dianggap 'bunuh' tv,gen z dianggap 'bunuh' tv,gen z dianggap bunuh tv,gen z dianggap bunuh tv,gen z dianggap bunuh tv,"['gen', 'z', 'dianggap', 'bunuh', 'tv']","['gen', 'z', 'dianggap', 'bunuh', 'tv']","['gen', 'z', 'dianggap', 'bunuh', 'tv']","['gen', 'z', 'dianggap', 'bunuh', 'tv']"
"Emil Dardak Bertemu Gen Z Surabaya, Bahas Keberlanjutan MJC",https://www.detik.com/jatim/pilkada/d-7627895/emil-dardak-bertemu-gen-z-surabaya-bahas-keberlanjutan-mjc,"emil dardak bertemu gen z surabaya, bahas keberlanjutan mjc","emil dardak bertemu gen z surabaya, bahas keberlanjutan mjc",emil dardak bertemu gen z surabaya bahas keberlanjutan mjc,emil dardak bertemu gen z surabaya bahas keberlanjutan mjc,emil dardak bertemu gen z surabaya bahas keberlanjutan mjc,"['emil', 'dardak', 'bertemu', 'gen', 'z', 'surabaya', 'bahas', 'keberlanjutan', 'mjc']","['emil', 'dardak', 'bertemu', 'gen', 'z', 'surabaya', 'bahas', 'keberlanjutan', 'mjc']","['emil', 'dardak', 'bertemu', 'gen', 'z', 'surabaya', 'bahas', 'keberlanjutan', 'mjc']","['emil', 'dardak', 'bertemu', 'gen', 'z', 'surabaya', 'bahas', 'keberlanjutan', 'mjc']"
Gen Z Merajut Asa di Sektor Informal,https://news.detik.com/kolom/d-7504983/gen-z-merajut-asa-di-sektor-informal,gen z merajut asa di sektor informal,gen z merajut asa di sektor informal,gen z merajut asa di sektor informal,gen z merajut asa di sektor informal,gen z merajut asa di sektor informal,"['gen', 'z', 'merajut', 'asa', 'di', 'sektor', 'informal']","['gen', 'z', 'merajut', 'asa', 'di', 'sektor', 'informal']","['gen', 'z', 'merajut', 'asa', 'sektor', 'informal']","['gen', 'z', 'rajut', 'asa', 'sektor', 'informal']"
Video: Program 4 Cawagub Jabar Biar Gen Z Bermental Sehat,https://20.detik.com/detikupdate/20241111-241111150/video-program-4-cawagub-jabar-biar-gen-z-bermental-sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,"['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']"
Gen Z Memang Pemalas atau Dimiskinkan?,https://news.detik.com/intermeso/d-7471668/gen-z-memang-pemalas-atau-dimiskinkan,gen z memang pemalas atau dimiskinkan?,gen z memang pemalas atau dimiskinkan?,gen z memang pemalas atau dimiskinkan,gen z memang pemalas atau dimiskinkan,gen z memang pemalas atau dimiskinkan,"['gen', 'z', 'memang', 'pemalas', 'atau', 'dimiskinkan']","['gen', 'z', 'memang', 'pemalas', 'atau', 'dimiskinkan']","['gen', 'z', 'pemalas', 'dimiskinkan']","['gen', 'z', 'pemalas', 'dimiskin']"
"Viral Gaya Pekerja Gen Z Dihujat Netizen, Disebut Seperti Stripper",https://wolipop.detik.com/worklife/d-7616035/viral-gaya-pekerja-gen-z-dihujat-netizen-disebut-seperti-stripper,"viral gaya pekerja gen z dihujat netizen, disebut seperti stripper","viral gaya pekerja gen z dihujat netizen, disebut seperti stripper",viral gaya pekerja gen z dihujat netizen disebut seperti stripper,viral gaya pekerja gen z dihujat netizen disebut seperti stripper,viral gaya pekerja gen z dihujat netizen disebut seperti stripper,"['viral', 'gaya', 'pekerja', 'gen', 'z', 'dihujat', 'netizen', 'disebut', 'seperti', 'stripper']","['viral', 'gaya', 'pekerja', 'gen', 'z', 'dihujat', 'netizen', 'disebut', 'seperti', 'stripper']","['viral', 'gaya', 'pekerja', 'gen', 'z', 'dihujat', 'netizen', 'stripper']","['viral', 'gaya', 'pekerja', 'gen', 'z', 'dihujat', 'netizen', 'stripper']"
"Banyak Gen Z Terjerat Pinjol, Kok Bisa?",https://finance.detik.com/fintech/d-7459538/banyak-gen-z-terjerat-pinjol-kok-bisa,"banyak gen z terjerat pinjol, kok bisa?","banyak gen z terjerat pinjol, kok bisa?",banyak gen z terjerat pinjol kok bisa,banyak gen z terjerat pinjol kok bisa,banyak gen z terjerat pinjol kok bisa,"['banyak', 'gen', 'z', 'terjerat', 'pinjol', 'kok', 'bisa']","['banyak', 'gen', 'z', 'terjerat', 'pinjol', 'kok', 'bisa']","['gen', 'z', 'terjerat', 'pinjol']","['gen', 'z', 'terjerat', 'pinjol']"
"Kalau Tahu 15 Hal Ini, Fix Kamu Sudah Nggak Muda Lagi",https://inet.detik.com/fotoinet/d-7558510/kalau-tahu-15-hal-ini-fix-kamu-sudah-nggak-muda-lagi,"kalau tahu 15 hal ini, fix kamu sudah nggak muda lagi","kalau tahu 15 hal ini, fix kamu sudah nggak muda lagi",kalau tahu  hal ini fix kamu sudah nggak muda lagi,kalau tahu  hal ini fix kamu sudah nggak muda lagi,kalau tahu  hal ini fix kamu sudah nggak muda lagi,"['kalau', 'tahu', 'hal', 'ini', 'fix', 'kamu', 'sudah', 'nggak', 'muda', 'lagi']","['kalau', 'tahu', 'hal', 'ini', 'fix', 'kamu', 'sudah', 'nggak', 'muda', 'lagi']","['fix', 'nggak', 'muda']","['fix', 'nggak', 'muda']"
"Gen Z, Tren Rekrutmen, dan Adaptasi Perusahaan",https://news.detik.com/kolom/d-7455183/gen-z-tren-rekrutmen-dan-adaptasi-perusahaan,"gen z, tren rekrutmen, dan adaptasi perusahaan","gen z, tren rekrutmen, dan adaptasi perusahaan",gen z tren rekrutmen dan adaptasi perusahaan,gen z tren rekrutmen dan adaptasi perusahaan,gen z tren rekrutmen dan adaptasi perusahaan,"['gen', 'z', 'tren', 'rekrutmen', 'dan', 'adaptasi', 'perusahaan']","['gen', 'z', 'tren', 'rekrutmen', 'dan', 'adaptasi', 'perusahaan']","['gen', 'z', 'tren', 'rekrutmen', 'adaptasi', 'perusahaan']","['gen', 'z', 'tren', 'rekrutmen', 'adaptasi', 'perusahaan']"
'Spill the Tea' Bahasa Gaul Gen Z,https://news.detik.com/kolom/d-7423056/spill-the-tea-bahasa-gaul-gen-z,'spill the tea' bahasa gaul gen z,'spill the tea' bahasa gaul gen z,spill the tea bahasa gaul gen z,spill the tea bahasa gaul gen z,spill the tea bahasa gaul gen z,"['spill', 'the', 'tea', 'bahasa', 'gaul', 'gen', 'z']","['spill', 'tea', 'bahasa', 'gaul', 'gen', 'z']","['spill', 'tea', 'bahasa', 'gaul', 'gen', 'z']","['spill', 'tea', 'bahasa', 'gaul', 'gen', 'z']"
"Geliat Sektor Properti Batam, Bidik Gen Z Geber Ekonomi",https://www.detik.com/properti/berita/d-7510695/geliat-sektor-properti-batam-bidik-gen-z-geber-ekonomi,"geliat sektor properti batam, bidik gen z geber ekonomi","geliat sektor properti batam, bidik gen z geber ekonomi",geliat sektor properti batam bidik gen z geber ekonomi,geliat sektor properti batam bidik gen z geber ekonomi,geliat sektor properti batam bidik gen z geber ekonomi,"['geliat', 'sektor', 'properti', 'batam', 'bidik', 'gen', 'z', 'geber', 'ekonomi']","['geliat', 'sektor', 'properti', 'batam', 'bidik', 'gen', 'z', 'geber', 'ekonomi']","['geliat', 'sektor', 'properti', 'batam', 'bidik', 'gen', 'z', 'geber', 'ekonomi']","['geliat', 'sektor', 'properti', 'batam', 'bidik', 'gen', 'z', 'geber', 'ekonomi']"
"Survei Pilgub Jateng Litbang Kompas: Paslon 01 Unggul di Gen Z, 02 di Gen X",https://www.detik.com/jateng/pilkada/d-7621109/survei-pilgub-jateng-litbang-kompas-paslon-01-unggul-di-gen-z-02-di-gen-x,"survei pilgub jateng litbang kompas: paslon 01 unggul di gen z, 02 di gen x","survei pilgub jateng litbang kompas: paslon 01 unggul di gen z, 02 di gen x",survei pilgub jateng litbang kompas paslon  unggul di gen z  di gen x,survei pilgub jateng litbang kompas paslon  unggul di gen z  di gen x,survei pilgub jateng litbang kompas paslon  unggul di gen z  di gen x,"['survei', 'pilgub', 'jateng', 'litbang', 'kompas', 'paslon', 'unggul', 'di', 'gen', 'z', 'di', 'gen', 'x']","['survei', 'pilgub', 'jateng', 'litbang', 'kompas', 'paslon', 'unggul', 'di', 'gen', 'z', 'di', 'gen', 'x']","['survei', 'pilgub', 'jateng', 'litbang', 'kompas', 'paslon', 'unggul', 'gen', 'z', 'gen', 'x']","['survei', 'pilgub', 'jateng', 'litbang', 'kompas', 'paslon', 'unggul', 'gen', 'z', 'gen', 'x']"
"10 Juta Gen Z Masih Nganggur, Pakar Bongkar Citra Gen Z yang Dinilai Terlalu Fantastis",https://www.detik.com/edu/detikpedia/d-7357410/10-juta-gen-z-masih-nganggur-pakar-bongkar-citra-gen-z-yang-dinilai-terlalu-fantastis,"10 juta gen z masih nganggur, pakar bongkar citra gen z yang dinilai terlalu fantastis","10 juta gen z masih nganggur, pakar bongkar citra gen z yang dinilai terlalu fantastis", juta gen z masih nganggur pakar bongkar citra gen z yang dinilai terlalu fantastis, juta gen z masih nganggur pakar bongkar citra gen z yang dinilai terlalu fantastis, juta gen z masih nganggur pakar bongkar citra gen z yang dinilai terlalu fantastis,"['juta', 'gen', 'z', 'masih', 'nganggur', 'pakar', 'bongkar', 'citra', 'gen', 'z', 'yang', 'dinilai', 'terlalu', 'fantastis']","['juta', 'gen', 'z', 'masih', 'nganggur', 'pakar', 'bongkar', 'citra', 'gen', 'z', 'yang', 'dinilai', 'terlalu', 'fantastis']","['juta', 'gen', 'z', 'nganggur', 'pakar', 'bongkar', 'citra', 'gen', 'z', 'dinilai', 'fantastis']","['juta', 'gen', 'z', 'nganggur', 'pakar', 'bongkar', 'citra', 'gen', 'z', 'dinilai', 'fantastis']"
