Judul,Link,judul_lower_case,remove_html,remove_special_characters,remove_escape_characters,cleaned_space,tokenisasi,remove_stopword_english,remove_stopword_indonesia,data_post_cleaned
"Banyak Gen Z Senang Makan Sendirian, Ini Manfaatnya yang Tak Terduga",https://wolipop.detik.com/health-and-diet/d-7565413/banyak-gen-z-senang-makan-sendirian-ini-manfaatnya-yang-tak-terduga,"banyak gen z senang makan sendirian, ini manfaatnya yang tak terduga","banyak gen z senang makan sendirian, ini manfaatnya yang tak terduga",banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,banyak gen z senang makan sendirian ini manfaatnya yang tak terduga,"['banyak', 'gen', 'z', 'senang', 'makan', 'sendirian', 'ini', 'manfaatnya', 'yang', 'tak', 'terduga']","['banyak', 'gen', 'z', 'senang', 'makan', 'sendirian', 'ini', 'manfaatnya', 'yang', 'tak', 'terduga']","['gen', 'z', 'senang', 'makan', 'manfaatnya', 'terduga']","['gen', 'z', 'senang', 'ma', 'manfaatnya', 'terduga']"
"Gen Z Dominasi Kaum Nganggur di RI, Segini Rentang Usianya",https://finance.detik.com/berita-ekonomi-bisnis/d-7354094/gen-z-dominasi-kaum-nganggur-di-ri-segini-rentang-usianya,"gen z dominasi kaum nganggur di ri, segini rentang usianya","gen z dominasi kaum nganggur di ri, segini rentang usianya",gen z dominasi kaum nganggur di ri segini rentang usianya,gen z dominasi kaum nganggur di ri segini rentang usianya,gen z dominasi kaum nganggur di ri segini rentang usianya,"['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'di', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'di', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'ri', 'segini', 'rentang', 'usianya']","['gen', 'z', 'dominasi', 'kaum', 'nganggur', 'ri', 'segini', 'rentang', 'usianya']"
Gen Z Kini Lebih Suka Cari Informasi di Media Sosial daripada 'Googling',https://inet.detik.com/detiktv/d-7541609/gen-z-kini-lebih-suka-cari-informasi-di-media-sosial-daripada-googling,gen z kini lebih suka cari informasi di media sosial daripada 'googling',gen z kini lebih suka cari informasi di media sosial daripada 'googling',gen z kini lebih suka cari informasi di media sosial daripada googling,gen z kini lebih suka cari informasi di media sosial daripada googling,gen z kini lebih suka cari informasi di media sosial daripada googling,"['gen', 'z', 'kini', 'lebih', 'suka', 'cari', 'informasi', 'di', 'media', 'sosial', 'daripada', 'googling']","['gen', 'z', 'kini', 'lebih', 'suka', 'cari', 'informasi', 'di', 'media', 'sosial', 'daripada', 'googling']","['gen', 'z', 'suka', 'cari', 'informasi', 'media', 'sosial', 'googling']","['gen', 'z', 'suka', 'cari', 'informasi', 'dia', 'sosial', 'googling']"
Aksi Protes Warga Kenya Tolak Kenaikan Pajak,https://finance.detik.com/foto-bisnis/d-7401340/aksi-protes-warga-kenya-tolak-kenaikan-pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,aksi protes warga kenya tolak kenaikan pajak,"['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenaikan', 'pajak']","['aksi', 'protes', 'warga', 'kenya', 'tolak', 'kenai', 'pajak']"
"Viral CEO 'Roasting' Tren Surat Lamaran Kerja Gen Z, Jangan Seperti Ini",https://wolipop.detik.com/worklife/d-7611063/viral-ceo-roasting-tren-surat-lamaran-kerja-gen-z-jangan-seperti-ini,"viral ceo 'roasting' tren surat lamaran kerja gen z, jangan seperti ini","viral ceo 'roasting' tren surat lamaran kerja gen z, jangan seperti ini",viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,viral ceo roasting tren surat lamaran kerja gen z jangan seperti ini,"['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z', 'jangan', 'seperti', 'ini']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z', 'jangan', 'seperti', 'ini']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z']","['viral', 'ceo', 'roasting', 'tren', 'surat', 'lamaran', 'kerja', 'gen', 'z']"
"Basuki: IKN buat Milenial-Gen Z, Bukan buat Saya dan Pak Jokowi",https://finance.detik.com/infrastruktur/d-7510920/basuki-ikn-buat-milenial-gen-z-bukan-buat-saya-dan-pak-jokowi,"basuki: ikn buat milenial-gen z, bukan buat saya dan pak jokowi","basuki: ikn buat milenial-gen z, bukan buat saya dan pak jokowi",basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,basuki ikn buat milenialgen z bukan buat saya dan pak jokowi,"['basuki', 'ikn', 'buat', 'milenialgen', 'z', 'bukan', 'buat', 'saya', 'dan', 'pak', 'jokowi']","['basuki', 'ikn', 'buat', 'milenialgen', 'z', 'bukan', 'buat', 'saya', 'dan', 'pak', 'jokowi']","['basuki', 'ikn', 'milenialgen', 'z', 'jokowi']","['basuki', 'ikn', 'milenialgen', 'z', 'jokowi']"
Pengelola STP Ungkap Alasan Gen Z Tertarik Kerja di Perusahaan Teknologi,https://finance.detik.com/berita-ekonomi-bisnis/d-7457598/pengelola-stp-ungkap-alasan-gen-z-tertarik-kerja-di-perusahaan-teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,pengelola stp ungkap alasan gen z tertarik kerja di perusahaan teknologi,"['pengelola', 'stp', 'ungkap', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'di', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'ungkap', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'di', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'perusahaan', 'teknologi']","['pengelola', 'stp', 'alasan', 'gen', 'z', 'tertarik', 'kerja', 'perusahaan', 'teknologi']"
"10 Pekerjaan yang Cocok untuk Gen Z, Nomor 1 Konten Kreator",https://www.detik.com/sumut/berita/d-7441160/10-pekerjaan-yang-cocok-untuk-gen-z-nomor-1-konten-kreator,"10 pekerjaan yang cocok untuk gen z, nomor 1 konten kreator","10 pekerjaan yang cocok untuk gen z, nomor 1 konten kreator", pekerjaan yang cocok untuk gen z nomor  konten kreator, pekerjaan yang cocok untuk gen z nomor  konten kreator, pekerjaan yang cocok untuk gen z nomor  konten kreator,"['pekerjaan', 'yang', 'cocok', 'untuk', 'gen', 'z', 'nomor', 'konten', 'kreator']","['pekerjaan', 'yang', 'cocok', 'untuk', 'gen', 'z', 'nomor', 'konten', 'kreator']","['pekerjaan', 'cocok', 'gen', 'z', 'nomor', 'konten', 'kreator']","['pekerjaan', 'cocok', 'gen', 'z', 'nomor', 'konten', 'kreator']"
"Gen Z Filipina Paling Kesepian di Asia Tenggara, Seserius Ini Dampaknya",https://health.detik.com/berita-detikhealth/d-7486407/gen-z-filipina-paling-kesepian-di-asia-tenggara-seserius-ini-dampaknya,"gen z filipina paling kesepian di asia tenggara, seserius ini dampaknya","gen z filipina paling kesepian di asia tenggara, seserius ini dampaknya",gen z filipina paling kesepian di asia tenggara seserius ini dampaknya,gen z filipina paling kesepian di asia tenggara seserius ini dampaknya,gen z filipina paling kesepian di asia tenggara seserius ini dampaknya,"['gen', 'z', 'filipina', 'paling', 'kesepian', 'di', 'asia', 'tenggara', 'seserius', 'ini', 'dampaknya']","['gen', 'z', 'filipina', 'paling', 'kesepian', 'di', 'asia', 'tenggara', 'seserius', 'ini', 'dampaknya']","['gen', 'z', 'filipina', 'kesepian', 'asia', 'tenggara', 'seserius', 'dampaknya']","['gen', 'z', 'filipina', 'kesepian', 'asia', 'tenggara', 'seserius', 'dampaknya']"
"Erick Thohir Bandingkan Gen Z Luar Negeri Mandiri, di RI Nebeng Ortu",https://finance.detik.com/berita-ekonomi-bisnis/d-7432106/erick-thohir-bandingkan-gen-z-luar-negeri-mandiri-di-ri-nebeng-ortu,"erick thohir bandingkan gen z luar negeri mandiri, di ri nebeng ortu","erick thohir bandingkan gen z luar negeri mandiri, di ri nebeng ortu",erick thohir bandingkan gen z luar negeri mandiri di ri nebeng ortu,erick thohir bandingkan gen z luar negeri mandiri di ri nebeng ortu,erick thohir bandingkan gen z luar negeri mandiri di ri nebeng ortu,"['erick', 'thohir', 'bandingkan', 'gen', 'z', 'luar', 'negeri', 'mandiri', 'di', 'ri', 'nebeng', 'ortu']","['erick', 'thohir', 'bandingkan', 'gen', 'z', 'luar', 'negeri', 'mandiri', 'di', 'ri', 'nebeng', 'ortu']","['erick', 'thohir', 'bandingkan', 'gen', 'z', 'negeri', 'mandiri', 'ri', 'nebeng', 'ortu']","['erick', 'thohir', 'banding', 'gen', 'z', 'negeri', 'mandiri', 'ri', 'nebeng', 'ortu']"
Gen Z Masih Pilih Google Dibanding TikTok Untuk Pencarian,https://inet.detik.com/cyberlife/d-7300148/gen-z-masih-pilih-google-dibanding-tiktok-untuk-pencarian,gen z masih pilih google dibanding tiktok untuk pencarian,gen z masih pilih google dibanding tiktok untuk pencarian,gen z masih pilih google dibanding tiktok untuk pencarian,gen z masih pilih google dibanding tiktok untuk pencarian,gen z masih pilih google dibanding tiktok untuk pencarian,"['gen', 'z', 'masih', 'pilih', 'google', 'dibanding', 'tiktok', 'untuk', 'pencarian']","['gen', 'z', 'masih', 'pilih', 'google', 'dibanding', 'tiktok', 'untuk', 'pencarian']","['gen', 'z', 'pilih', 'google', 'dibanding', 'tiktok', 'pencarian']","['gen', 'z', 'pilih', 'google', 'dibanding', 'tiktok', 'pencarian']"
Video: Gen Z Bicara soal Rentan Depresi,https://20.detik.com/detikupdate/20241012-241012049/video-gen-z-bicara-soal-rentan-depresi,video: gen z bicara soal rentan depresi,video: gen z bicara soal rentan depresi,video gen z bicara soal rentan depresi,video gen z bicara soal rentan depresi,video gen z bicara soal rentan depresi,"['video', 'gen', 'z', 'bicara', 'soal', 'rentan', 'depresi']","['video', 'gen', 'z', 'bicara', 'soal', 'rentan', 'depresi']","['video', 'gen', 'z', 'bicara', 'rentan', 'depresi']","['video', 'gen', 'z', 'bicara', 'rentan', 'depresi']"
Bos BI Sebut Gen Z cs Semakin Ogah Pegang Uang Kertas,https://finance.detik.com/moneter/d-7471126/bos-bi-sebut-gen-z-cs-semakin-ogah-pegang-uang-kertas,bos bi sebut gen z cs semakin ogah pegang uang kertas,bos bi sebut gen z cs semakin ogah pegang uang kertas,bos bi sebut gen z cs semakin ogah pegang uang kertas,bos bi sebut gen z cs semakin ogah pegang uang kertas,bos bi sebut gen z cs semakin ogah pegang uang kertas,"['bos', 'bi', 'sebut', 'gen', 'z', 'cs', 'semakin', 'ogah', 'pegang', 'uang', 'kertas']","['bos', 'bi', 'sebut', 'gen', 'z', 'cs', 'semakin', 'ogah', 'pegang', 'uang', 'kertas']","['bos', 'bi', 'gen', 'z', 'cs', 'ogah', 'pegang', 'uang', 'kertas']","['bos', 'bi', 'gen', 'z', 'cs', 'ogah', 'pegang', 'uang', 'kertas']"
"Bos BI Sebut Gen Z Makin Malas Pakai Uang Kertas, Ini Alasannya",https://finance.detik.com/moneter/d-7469779/bos-bi-sebut-gen-z-makin-malas-pakai-uang-kertas-ini-alasannya,"bos bi sebut gen z makin malas pakai uang kertas, ini alasannya","bos bi sebut gen z makin malas pakai uang kertas, ini alasannya",bos bi sebut gen z makin malas pakai uang kertas ini alasannya,bos bi sebut gen z makin malas pakai uang kertas ini alasannya,bos bi sebut gen z makin malas pakai uang kertas ini alasannya,"['bos', 'bi', 'sebut', 'gen', 'z', 'makin', 'malas', 'pakai', 'uang', 'kertas', 'ini', 'alasannya']","['bos', 'bi', 'sebut', 'gen', 'z', 'makin', 'malas', 'pakai', 'uang', 'kertas', 'ini', 'alasannya']","['bos', 'bi', 'gen', 'z', 'malas', 'pakai', 'uang', 'kertas', 'alasannya']","['bos', 'bi', 'gen', 'z', 'malas', 'pakai', 'uang', 'kertas', 'alasannya']"
"Bea Impor Makin Mencekik, Bikin Mimpi Gen Z Punya Rumah Makin Sulit!",https://www.detik.com/properti/berita/d-7452724/bea-impor-makin-mencekik-bikin-mimpi-gen-z-punya-rumah-makin-sulit,"bea impor makin mencekik, bikin mimpi gen z punya rumah makin sulit!","bea impor makin mencekik, bikin mimpi gen z punya rumah makin sulit!",bea impor makin mencekik bikin mimpi gen z punya rumah makin sulit,bea impor makin mencekik bikin mimpi gen z punya rumah makin sulit,bea impor makin mencekik bikin mimpi gen z punya rumah makin sulit,"['bea', 'impor', 'makin', 'mencekik', 'bikin', 'mimpi', 'gen', 'z', 'punya', 'rumah', 'makin', 'sulit']","['bea', 'impor', 'makin', 'mencekik', 'bikin', 'mimpi', 'gen', 'z', 'punya', 'rumah', 'makin', 'sulit']","['bea', 'impor', 'mencekik', 'bikin', 'mimpi', 'gen', 'z', 'rumah', 'sulit']","['bea', 'impor', 'ncekik', 'bikin', 'mimpi', 'gen', 'z', 'rumah', 'sulit']"
"Sasar Gen Z, Campina Gandeng MPL Indonesia Season 13",https://finance.detik.com/foto-bisnis/d-7379456/sasar-gen-z-campina-gandeng-mpl-indonesia-season-13,"sasar gen z, campina gandeng mpl indonesia season 13","sasar gen z, campina gandeng mpl indonesia season 13",sasar gen z campina gandeng mpl indonesia season ,sasar gen z campina gandeng mpl indonesia season ,sasar gen z campina gandeng mpl indonesia season ,"['sasar', 'gen', 'z', 'campina', 'gandeng', 'mpl', 'indonesia', 'season']","['sasar', 'gen', 'z', 'campina', 'gandeng', 'mpl', 'indonesia', 'season']","['sasar', 'gen', 'z', 'campina', 'gandeng', 'mpl', 'indonesia', 'season']","['sasar', 'gen', 'z', 'campina', 'gandeng', 'mpl', 'indonesia', 'season']"
"Frateran Digital Content Project, Bekali Gen Z dengan Kecerdasan Digital",https://www.detik.com/jatim/berita/d-7385582/frateran-digital-content-project-bekali-gen-z-dengan-kecerdasan-digital,"frateran digital content project, bekali gen z dengan kecerdasan digital","frateran digital content project, bekali gen z dengan kecerdasan digital",frateran digital content project bekali gen z dengan kecerdasan digital,frateran digital content project bekali gen z dengan kecerdasan digital,frateran digital content project bekali gen z dengan kecerdasan digital,"['frateran', 'digital', 'content', 'project', 'bekali', 'gen', 'z', 'dengan', 'kecerdasan', 'digital']","['frateran', 'digital', 'content', 'project', 'bekali', 'gen', 'z', 'dengan', 'kecerdasan', 'digital']","['frateran', 'digital', 'content', 'project', 'bekali', 'gen', 'z', 'kecerdasan', 'digital']","['frateran', 'digital', 'content', 'project', 'bekali', 'gen', 'z', 'kecerdasan', 'digital']"
"1 dari 3 Gen Z di Singapura Stres-Depresi karena Medsos, Ini Temuannya",https://health.detik.com/berita-detikhealth/d-7548844/1-dari-3-gen-z-di-singapura-stres-depresi-karena-medsos-ini-temuannya,"1 dari 3 gen z di singapura stres-depresi karena medsos, ini temuannya","1 dari 3 gen z di singapura stres-depresi karena medsos, ini temuannya", dari  gen z di singapura stresdepresi karena medsos ini temuannya, dari  gen z di singapura stresdepresi karena medsos ini temuannya, dari  gen z di singapura stresdepresi karena medsos ini temuannya,"['dari', 'gen', 'z', 'di', 'singapura', 'stresdepresi', 'karena', 'medsos', 'ini', 'temuannya']","['dari', 'gen', 'z', 'di', 'singapura', 'stresdepresi', 'karena', 'medsos', 'ini', 'temuannya']","['gen', 'z', 'singapura', 'stresdepresi', 'medsos', 'temuannya']","['gen', 'z', 'singapura', 'stresdepresi', 'dsos', 'temuannya']"
"Tren Sadfishing Pada Gen Z, Umbar Cerita Sedih yang Dilebih-lebihkan",https://wolipop.detik.com/love/d-7422399/tren-sadfishing-pada-gen-z-umbar-cerita-sedih-yang-dilebih-lebihkan,"tren sadfishing pada gen z, umbar cerita sedih yang dilebih-lebihkan","tren sadfishing pada gen z, umbar cerita sedih yang dilebih-lebihkan",tren sadfishing pada gen z umbar cerita sedih yang dilebihlebihkan,tren sadfishing pada gen z umbar cerita sedih yang dilebihlebihkan,tren sadfishing pada gen z umbar cerita sedih yang dilebihlebihkan,"['tren', 'sadfishing', 'pada', 'gen', 'z', 'umbar', 'cerita', 'sedih', 'yang', 'dilebihlebihkan']","['tren', 'sadfishing', 'pada', 'gen', 'z', 'umbar', 'cerita', 'sedih', 'yang', 'dilebihlebihkan']","['tren', 'sadfishing', 'gen', 'z', 'umbar', 'cerita', 'sedih', 'dilebihlebihkan']","['tren', 'sadfishing', 'gen', 'z', 'umbar', 'cerita', 'sedih', 'dilebihlebih']"
"Survei BPS Ungkap 10 Juta Gen Z Menganggur, Apa Penyebabnya?",https://www.detik.com/edu/edutainment/d-7350737/survei-bps-ungkap-10-juta-gen-z-menganggur-apa-penyebabnya,"survei bps ungkap 10 juta gen z menganggur, apa penyebabnya?","survei bps ungkap 10 juta gen z menganggur, apa penyebabnya?",survei bps ungkap  juta gen z menganggur apa penyebabnya,survei bps ungkap  juta gen z menganggur apa penyebabnya,survei bps ungkap  juta gen z menganggur apa penyebabnya,"['survei', 'bps', 'ungkap', 'juta', 'gen', 'z', 'menganggur', 'apa', 'penyebabnya']","['survei', 'bps', 'ungkap', 'juta', 'gen', 'z', 'menganggur', 'apa', 'penyebabnya']","['survei', 'bps', 'juta', 'gen', 'z', 'menganggur', 'penyebabnya']","['survei', 'bps', 'juta', 'gen', 'z', 'nganggur', 'penyebabnya']"
Aduh! Banyak Gen Z Terjerat Pinjol,https://finance.detik.com/fintech/d-7457971/aduh-banyak-gen-z-terjerat-pinjol,aduh! banyak gen z terjerat pinjol,aduh! banyak gen z terjerat pinjol,aduh banyak gen z terjerat pinjol,aduh banyak gen z terjerat pinjol,aduh banyak gen z terjerat pinjol,"['aduh', 'banyak', 'gen', 'z', 'terjerat', 'pinjol']","['aduh', 'banyak', 'gen', 'z', 'terjerat', 'pinjol']","['aduh', 'gen', 'z', 'terjerat', 'pinjol']","['aduh', 'gen', 'z', 'terjerat', 'pinjol']"
"Moo Deng Bayi Kuda Nil Viral Bikin Gemas, Kini Jadi Tren Makeup Gen Z",https://wolipop.detik.com/makeup-and-skincare/d-7560603/moo-deng-bayi-kuda-nil-viral-bikin-gemas-kini-jadi-tren-makeup-gen-z,"moo deng bayi kuda nil viral bikin gemas, kini jadi tren makeup gen z","moo deng bayi kuda nil viral bikin gemas, kini jadi tren makeup gen z",moo deng bayi kuda nil viral bikin gemas kini jadi tren makeup gen z,moo deng bayi kuda nil viral bikin gemas kini jadi tren makeup gen z,moo deng bayi kuda nil viral bikin gemas kini jadi tren makeup gen z,"['moo', 'deng', 'bayi', 'kuda', 'nil', 'viral', 'bikin', 'gemas', 'kini', 'jadi', 'tren', 'makeup', 'gen', 'z']","['moo', 'deng', 'bayi', 'kuda', 'nil', 'viral', 'bikin', 'gemas', 'kini', 'jadi', 'tren', 'makeup', 'gen', 'z']","['moo', 'deng', 'bayi', 'kuda', 'nil', 'viral', 'bikin', 'gemas', 'tren', 'makeup', 'gen', 'z']","['moo', 'deng', 'bayi', 'kuda', 'nil', 'viral', 'bikin', 'gemas', 'tren', 'makeup', 'gen', 'z']"
Saran Pemprov DKI Beri Pelatihan Kerja ke Gen Z demi Atasi Pengangguran,https://news.detik.com/berita/d-7463675/saran-pemprov-dki-beri-pelatihan-kerja-ke-gen-z-demi-atasi-pengangguran,saran pemprov dki beri pelatihan kerja ke gen z demi atasi pengangguran,saran pemprov dki beri pelatihan kerja ke gen z demi atasi pengangguran,saran pemprov dki beri pelatihan kerja ke gen z demi atasi pengangguran,saran pemprov dki beri pelatihan kerja ke gen z demi atasi pengangguran,saran pemprov dki beri pelatihan kerja ke gen z demi atasi pengangguran,"['saran', 'pemprov', 'dki', 'beri', 'pelatihan', 'kerja', 'ke', 'gen', 'z', 'demi', 'atasi', 'pengangguran']","['saran', 'pemprov', 'dki', 'beri', 'pelatihan', 'kerja', 'ke', 'gen', 'z', 'demi', 'atasi', 'pengangguran']","['saran', 'pemprov', 'dki', 'pelatihan', 'kerja', 'gen', 'z', 'atasi', 'pengangguran']","['saran', 'pemprov', 'dki', 'pelatihan', 'kerja', 'gen', 'z', 'atasi', 'pengangguran']"
Video: Melihat Lagi Janji RK dan Pramono soal Nasib Gen Z di Jakarta,https://20.detik.com/detikupdate/20241007-241007060/video-melihat-lagi-janji-rk-dan-pramono-soal-nasib-gen-z-di-jakarta,video: melihat lagi janji rk dan pramono soal nasib gen z di jakarta,video: melihat lagi janji rk dan pramono soal nasib gen z di jakarta,video melihat lagi janji rk dan pramono soal nasib gen z di jakarta,video melihat lagi janji rk dan pramono soal nasib gen z di jakarta,video melihat lagi janji rk dan pramono soal nasib gen z di jakarta,"['video', 'melihat', 'lagi', 'janji', 'rk', 'dan', 'pramono', 'soal', 'nasib', 'gen', 'z', 'di', 'jakarta']","['video', 'melihat', 'lagi', 'janji', 'rk', 'dan', 'pramono', 'soal', 'nasib', 'gen', 'z', 'di', 'jakarta']","['video', 'janji', 'rk', 'pramono', 'nasib', 'gen', 'z', 'jakarta']","['video', 'janji', 'rk', 'pramono', 'nasib', 'gen', 'z', 'jakarta']"
